t	lab_wwtp_unique_id	log_conc	date	lod_sewage	below_LOD	daily_hosp_admits	daily_hosp_admits_for_eval	pop	forecast_date	hosp_calibration_time	site	ww_pop	inf_per_capita
1	1		2023-10-30			6	6	1e+06	2024-02-05	90	1	4e+05	0.000663426572737469
1	2		2023-10-30			6	6	1e+06	2024-02-05	90	1	4e+05	0.000663426572737469
1	3		2023-10-30			6	6	1e+06	2024-02-05	90	2	2e+05	0.000663426572737469
1	4		2023-10-30			6	6	1e+06	2024-02-05	90	3	1e+05	0.000663426572737469
1	5		2023-10-30			6	6	1e+06	2024-02-05	90	4	50000	0.000663426572737469
2	1		2023-10-31			8	8	1e+06	2024-02-05	90	1	4e+05	0.00068300916315395
2	2		2023-10-31			8	8	1e+06	2024-02-05	90	1	4e+05	0.00068300916315395
2	3	8.36481035293498	2023-10-31	4.01075017260572	0	8	8	1e+06	2024-02-05	90	2	2e+05	0.00068300916315395
2	4		2023-10-31			8	8	1e+06	2024-02-05	90	3	1e+05	0.00068300916315395
2	5		2023-10-31			8	8	1e+06	2024-02-05	90	4	50000	0.00068300916315395
3	1		2023-11-01			4	4	1e+06	2024-02-05	90	1	4e+05	0.000720865160318388
3	2		2023-11-01			4	4	1e+06	2024-02-05	90	1	4e+05	0.000720865160318388
3	3		2023-11-01			4	4	1e+06	2024-02-05	90	2	2e+05	0.000720865160318388
3	4		2023-11-01			4	4	1e+06	2024-02-05	90	3	1e+05	0.000720865160318388
3	5		2023-11-01			4	4	1e+06	2024-02-05	90	4	50000	0.000720865160318388
4	1	8.06994711561617	2023-11-02	3.80549506716936	0	8	8	1e+06	2024-02-05	90	1	4e+05	0.00076104521535863
4	2		2023-11-02			8	8	1e+06	2024-02-05	90	1	4e+05	0.00076104521535863
4	3		2023-11-02			8	8	1e+06	2024-02-05	90	2	2e+05	0.00076104521535863
4	4		2023-11-02			8	8	1e+06	2024-02-05	90	3	1e+05	0.00076104521535863
4	5		2023-11-02			8	8	1e+06	2024-02-05	90	4	50000	0.00076104521535863
5	1		2023-11-03			4	4	1e+06	2024-02-05	90	1	4e+05	0.000803295962116898
5	2		2023-11-03			4	4	1e+06	2024-02-05	90	1	4e+05	0.000803295962116898
5	3		2023-11-03			4	4	1e+06	2024-02-05	90	2	2e+05	0.000803295962116898
5	4		2023-11-03			4	4	1e+06	2024-02-05	90	3	1e+05	0.000803295962116898
5	5		2023-11-03			4	4	1e+06	2024-02-05	90	4	50000	0.000803295962116898
6	1		2023-11-04			6	6	1e+06	2024-02-05	90	1	4e+05	0.000848573477258153
6	2		2023-11-04			6	6	1e+06	2024-02-05	90	1	4e+05	0.000848573477258153
6	3		2023-11-04			6	6	1e+06	2024-02-05	90	2	2e+05	0.000848573477258153
6	4		2023-11-04			6	6	1e+06	2024-02-05	90	3	1e+05	0.000848573477258153
6	5		2023-11-04			6	6	1e+06	2024-02-05	90	4	50000	0.000848573477258153
7	1		2023-11-05			4	4	1e+06	2024-02-05	90	1	4e+05	0.000897005722285224
7	2		2023-11-05			4	4	1e+06	2024-02-05	90	1	4e+05	0.000897005722285224
7	3		2023-11-05			4	4	1e+06	2024-02-05	90	2	2e+05	0.000897005722285224
7	4		2023-11-05			4	4	1e+06	2024-02-05	90	3	1e+05	0.000897005722285224
7	5		2023-11-05			4	4	1e+06	2024-02-05	90	4	50000	0.000897005722285224
8	1		2023-11-06			8	8	1e+06	2024-02-05	90	1	4e+05	0.000891349326433801
8	2		2023-11-06			8	8	1e+06	2024-02-05	90	1	4e+05	0.000891349326433801
8	3		2023-11-06			8	8	1e+06	2024-02-05	90	2	2e+05	0.000891349326433801
8	4		2023-11-06			8	8	1e+06	2024-02-05	90	3	1e+05	0.000891349326433801
8	5		2023-11-06			8	8	1e+06	2024-02-05	90	4	50000	0.000891349326433801
9	1		2023-11-07			8	8	1e+06	2024-02-05	90	1	4e+05	0.000931363580626765
9	2		2023-11-07			8	8	1e+06	2024-02-05	90	1	4e+05	0.000931363580626765
9	3		2023-11-07			8	8	1e+06	2024-02-05	90	2	2e+05	0.000931363580626765
9	4		2023-11-07			8	8	1e+06	2024-02-05	90	3	1e+05	0.000931363580626765
9	5	7.30101935886591	2023-11-07	3.86712344199376	0	8	8	1e+06	2024-02-05	90	4	50000	0.000931363580626765
10	1		2023-11-08			5	5	1e+06	2024-02-05	90	1	4e+05	0.000962241003942569
10	2	8.62289790917382	2023-11-08	3.46396345552081	0	5	5	1e+06	2024-02-05	90	1	4e+05	0.000962241003942569
10	3		2023-11-08			5	5	1e+06	2024-02-05	90	2	2e+05	0.000962241003942569
10	4		2023-11-08			5	5	1e+06	2024-02-05	90	3	1e+05	0.000962241003942569
10	5		2023-11-08			5	5	1e+06	2024-02-05	90	4	50000	0.000962241003942569
11	1		2023-11-09			11	11	1e+06	2024-02-05	90	1	4e+05	0.000994116009532259
11	2		2023-11-09			11	11	1e+06	2024-02-05	90	1	4e+05	0.000994116009532259
11	3		2023-11-09			11	11	1e+06	2024-02-05	90	2	2e+05	0.000994116009532259
11	4		2023-11-09			11	11	1e+06	2024-02-05	90	3	1e+05	0.000994116009532259
11	5		2023-11-09			11	11	1e+06	2024-02-05	90	4	50000	0.000994116009532259
12	1	8.63601927420382	2023-11-10	3.80549506716936	0	10	10	1e+06	2024-02-05	90	1	4e+05	0.00102753251025335
12	2		2023-11-10			10	10	1e+06	2024-02-05	90	1	4e+05	0.00102753251025335
12	3		2023-11-10			10	10	1e+06	2024-02-05	90	2	2e+05	0.00102753251025335
12	4		2023-11-10			10	10	1e+06	2024-02-05	90	3	1e+05	0.00102753251025335
12	5		2023-11-10			10	10	1e+06	2024-02-05	90	4	50000	0.00102753251025335
13	1	8.7769160557112	2023-11-11	3.80549506716936	0	6	6	1e+06	2024-02-05	90	1	4e+05	0.00106205276321297
13	2		2023-11-11			6	6	1e+06	2024-02-05	90	1	4e+05	0.00106205276321297
13	3	8.07085011775403	2023-11-11	4.01075017260572	0	6	6	1e+06	2024-02-05	90	2	2e+05	0.00106205276321297
13	4		2023-11-11			6	6	1e+06	2024-02-05	90	3	1e+05	0.00106205276321297
13	5		2023-11-11			6	6	1e+06	2024-02-05	90	4	50000	0.00106205276321297
14	1		2023-11-12			9	9	1e+06	2024-02-05	90	1	4e+05	0.00109775949551849
14	2		2023-11-12			9	9	1e+06	2024-02-05	90	1	4e+05	0.00109775949551849
14	3		2023-11-12			9	9	1e+06	2024-02-05	90	2	2e+05	0.00109775949551849
14	4		2023-11-12			9	9	1e+06	2024-02-05	90	3	1e+05	0.00109775949551849
14	5		2023-11-12			9	9	1e+06	2024-02-05	90	4	50000	0.00109775949551849
15	1		2023-11-13			7	7	1e+06	2024-02-05	90	1	4e+05	0.00118548736868214
15	2		2023-11-13			7	7	1e+06	2024-02-05	90	1	4e+05	0.00118548736868214
15	3		2023-11-13			7	7	1e+06	2024-02-05	90	2	2e+05	0.00118548736868214
15	4		2023-11-13			7	7	1e+06	2024-02-05	90	3	1e+05	0.00118548736868214
15	5	7.56559007519856	2023-11-13	3.86712344199376	0	7	7	1e+06	2024-02-05	90	4	50000	0.00118548736868214
16	1		2023-11-14			7	7	1e+06	2024-02-05	90	1	4e+05	0.00123489074410856
16	2	9.14945816486916	2023-11-14	3.46396345552081	0	7	7	1e+06	2024-02-05	90	1	4e+05	0.00123489074410856
16	3	7.79259216965746	2023-11-14	4.01075017260572	0	7	7	1e+06	2024-02-05	90	2	2e+05	0.00123489074410856
16	4		2023-11-14			7	7	1e+06	2024-02-05	90	3	1e+05	0.00123489074410856
16	5	10.9889396162503	2023-11-14	3.86712344199376	0	7	7	1e+06	2024-02-05	90	4	50000	0.00123489074410856
17	1		2023-11-15			13	13	1e+06	2024-02-05	90	1	4e+05	0.0012971223308044
17	2		2023-11-15			13	13	1e+06	2024-02-05	90	1	4e+05	0.0012971223308044
17	3	8.08765357721804	2023-11-15	4.01075017260572	0	13	13	1e+06	2024-02-05	90	2	2e+05	0.0012971223308044
17	4		2023-11-15			13	13	1e+06	2024-02-05	90	3	1e+05	0.0012971223308044
17	5		2023-11-15			13	13	1e+06	2024-02-05	90	4	50000	0.0012971223308044
18	1	8.51517036359834	2023-11-16	3.80549506716936	0	7	7	1e+06	2024-02-05	90	1	4e+05	0.00136244887607943
18	2		2023-11-16			7	7	1e+06	2024-02-05	90	1	4e+05	0.00136244887607943
18	3		2023-11-16			7	7	1e+06	2024-02-05	90	2	2e+05	0.00136244887607943
18	4		2023-11-16			7	7	1e+06	2024-02-05	90	3	1e+05	0.00136244887607943
18	5	9.93514217966295	2023-11-16	3.86712344199376	0	7	7	1e+06	2024-02-05	90	4	50000	0.00136244887607943
19	1		2023-11-17			9	9	1e+06	2024-02-05	90	1	4e+05	0.00143067886419521
19	2		2023-11-17			9	9	1e+06	2024-02-05	90	1	4e+05	0.00143067886419521
19	3		2023-11-17			9	9	1e+06	2024-02-05	90	2	2e+05	0.00143067886419521
19	4		2023-11-17			9	9	1e+06	2024-02-05	90	3	1e+05	0.00143067886419521
19	5		2023-11-17			9	9	1e+06	2024-02-05	90	4	50000	0.00143067886419521
20	1		2023-11-18			8	8	1e+06	2024-02-05	90	1	4e+05	0.0015024490166559
20	2		2023-11-18			8	8	1e+06	2024-02-05	90	1	4e+05	0.0015024490166559
20	3		2023-11-18			8	8	1e+06	2024-02-05	90	2	2e+05	0.0015024490166559
20	4		2023-11-18			8	8	1e+06	2024-02-05	90	3	1e+05	0.0015024490166559
20	5		2023-11-18			8	8	1e+06	2024-02-05	90	4	50000	0.0015024490166559
21	1	8.91358538794599	2023-11-19	3.80549506716936	0	7	7	1e+06	2024-02-05	90	1	4e+05	0.001577887132097
21	2		2023-11-19			7	7	1e+06	2024-02-05	90	1	4e+05	0.001577887132097
21	3		2023-11-19			7	7	1e+06	2024-02-05	90	2	2e+05	0.001577887132097
21	4		2023-11-19			7	7	1e+06	2024-02-05	90	3	1e+05	0.001577887132097
21	5		2023-11-19			7	7	1e+06	2024-02-05	90	4	50000	0.001577887132097
22	1		2023-11-20			7	7	1e+06	2024-02-05	90	1	4e+05	0.00157949362228245
22	2		2023-11-20			7	7	1e+06	2024-02-05	90	1	4e+05	0.00157949362228245
22	3		2023-11-20			7	7	1e+06	2024-02-05	90	2	2e+05	0.00157949362228245
22	4		2023-11-20			7	7	1e+06	2024-02-05	90	3	1e+05	0.00157949362228245
22	5		2023-11-20			7	7	1e+06	2024-02-05	90	4	50000	0.00157949362228245
23	1		2023-11-21			11	11	1e+06	2024-02-05	90	1	4e+05	0.00164502885114781
23	2		2023-11-21			11	11	1e+06	2024-02-05	90	1	4e+05	0.00164502885114781
23	3	8.40842353113087	2023-11-21	4.01075017260572	0	11	11	1e+06	2024-02-05	90	2	2e+05	0.00164502885114781
23	4	9.0135852111729	2023-11-21	3.57608017908556	0	11	11	1e+06	2024-02-05	90	3	1e+05	0.00164502885114781
23	5		2023-11-21			11	11	1e+06	2024-02-05	90	4	50000	0.00164502885114781
24	1		2023-11-22			17	17	1e+06	2024-02-05	90	1	4e+05	0.00169799949177993
24	2		2023-11-22			17	17	1e+06	2024-02-05	90	1	4e+05	0.00169799949177993
24	3		2023-11-22			17	17	1e+06	2024-02-05	90	2	2e+05	0.00169799949177993
24	4	8.17923398023512	2023-11-22	3.57608017908556	0	17	17	1e+06	2024-02-05	90	3	1e+05	0.00169799949177993
24	5		2023-11-22			17	17	1e+06	2024-02-05	90	4	50000	0.00169799949177993
25	1		2023-11-23			5	5	1e+06	2024-02-05	90	1	4e+05	0.00175271129382294
25	2		2023-11-23			5	5	1e+06	2024-02-05	90	1	4e+05	0.00175271129382294
25	3		2023-11-23			5	5	1e+06	2024-02-05	90	2	2e+05	0.00175271129382294
25	4	8.80015944143164	2023-11-23	3.57608017908556	0	5	5	1e+06	2024-02-05	90	3	1e+05	0.00175271129382294
25	5		2023-11-23			5	5	1e+06	2024-02-05	90	4	50000	0.00175271129382294
26	1	9.11537097218074	2023-11-24	3.80549506716936	0	14	14	1e+06	2024-02-05	90	1	4e+05	0.00180990448808453
26	2		2023-11-24			14	14	1e+06	2024-02-05	90	1	4e+05	0.00180990448808453
26	3		2023-11-24			14	14	1e+06	2024-02-05	90	2	2e+05	0.00180990448808453
26	4		2023-11-24			14	14	1e+06	2024-02-05	90	3	1e+05	0.00180990448808453
26	5		2023-11-24			14	14	1e+06	2024-02-05	90	4	50000	0.00180990448808453
27	1		2023-11-25			9	9	1e+06	2024-02-05	90	1	4e+05	0.00186897576775536
27	2		2023-11-25			9	9	1e+06	2024-02-05	90	1	4e+05	0.00186897576775536
27	3	8.98637293859266	2023-11-25	4.01075017260572	0	9	9	1e+06	2024-02-05	90	2	2e+05	0.00186897576775536
27	4		2023-11-25			9	9	1e+06	2024-02-05	90	3	1e+05	0.00186897576775536
27	5		2023-11-25			9	9	1e+06	2024-02-05	90	4	50000	0.00186897576775536
28	1		2023-11-26			10	10	1e+06	2024-02-05	90	1	4e+05	0.0019300544630776
28	2		2023-11-26			10	10	1e+06	2024-02-05	90	1	4e+05	0.0019300544630776
28	3	8.65889243616303	2023-11-26	4.01075017260572	0	10	10	1e+06	2024-02-05	90	2	2e+05	0.0019300544630776
28	4		2023-11-26			10	10	1e+06	2024-02-05	90	3	1e+05	0.0019300544630776
28	5		2023-11-26			10	10	1e+06	2024-02-05	90	4	50000	0.0019300544630776
29	1		2023-11-27			16	16	1e+06	2024-02-05	90	1	4e+05	0.00205882259115435
29	2		2023-11-27			16	16	1e+06	2024-02-05	90	1	4e+05	0.00205882259115435
29	3		2023-11-27			16	16	1e+06	2024-02-05	90	2	2e+05	0.00205882259115435
29	4		2023-11-27			16	16	1e+06	2024-02-05	90	3	1e+05	0.00205882259115435
29	5		2023-11-27			16	16	1e+06	2024-02-05	90	4	50000	0.00205882259115435
30	1		2023-11-28			11	11	1e+06	2024-02-05	90	1	4e+05	0.00213837716378528
30	2		2023-11-28			11	11	1e+06	2024-02-05	90	1	4e+05	0.00213837716378528
30	3		2023-11-28			11	11	1e+06	2024-02-05	90	2	2e+05	0.00213837716378528
30	4		2023-11-28			11	11	1e+06	2024-02-05	90	3	1e+05	0.00213837716378528
30	5		2023-11-28			11	11	1e+06	2024-02-05	90	4	50000	0.00213837716378528
31	1		2023-11-29			15	15	1e+06	2024-02-05	90	1	4e+05	0.0022349415558482
31	2		2023-11-29			15	15	1e+06	2024-02-05	90	1	4e+05	0.0022349415558482
31	3		2023-11-29			15	15	1e+06	2024-02-05	90	2	2e+05	0.0022349415558482
31	4		2023-11-29			15	15	1e+06	2024-02-05	90	3	1e+05	0.0022349415558482
31	5	10.3643033355416	2023-11-29	3.86712344199376	0	15	15	1e+06	2024-02-05	90	4	50000	0.0022349415558482
32	1		2023-11-30			19	19	1e+06	2024-02-05	90	1	4e+05	0.00233594266690393
32	2		2023-11-30			19	19	1e+06	2024-02-05	90	1	4e+05	0.00233594266690393
32	3		2023-11-30			19	19	1e+06	2024-02-05	90	2	2e+05	0.00233594266690393
32	4		2023-11-30			19	19	1e+06	2024-02-05	90	3	1e+05	0.00233594266690393
32	5		2023-11-30			19	19	1e+06	2024-02-05	90	4	50000	0.00233594266690393
33	1		2023-12-01			16	16	1e+06	2024-02-05	90	1	4e+05	0.00244114199543507
33	2		2023-12-01			16	16	1e+06	2024-02-05	90	1	4e+05	0.00244114199543507
33	3		2023-12-01			16	16	1e+06	2024-02-05	90	2	2e+05	0.00244114199543507
33	4		2023-12-01			16	16	1e+06	2024-02-05	90	3	1e+05	0.00244114199543507
33	5	9.06315348681911	2023-12-01	3.86712344199376	0	16	16	1e+06	2024-02-05	90	4	50000	0.00244114199543507
34	1		2023-12-02			17	17	1e+06	2024-02-05	90	1	4e+05	0.00255137419422608
34	2		2023-12-02			17	17	1e+06	2024-02-05	90	1	4e+05	0.00255137419422608
34	3		2023-12-02			17	17	1e+06	2024-02-05	90	2	2e+05	0.00255137419422608
34	4		2023-12-02			17	17	1e+06	2024-02-05	90	3	1e+05	0.00255137419422608
34	5		2023-12-02			17	17	1e+06	2024-02-05	90	4	50000	0.00255137419422608
35	1		2023-12-03			15	15	1e+06	2024-02-05	90	1	4e+05	0.00266681808967801
35	2	9.62773574720005	2023-12-03	3.46396345552081	0	15	15	1e+06	2024-02-05	90	1	4e+05	0.00266681808967801
35	3	8.98340694902573	2023-12-03	4.01075017260572	0	15	15	1e+06	2024-02-05	90	2	2e+05	0.00266681808967801
35	4		2023-12-03			15	15	1e+06	2024-02-05	90	3	1e+05	0.00266681808967801
35	5	8.68576411206245	2023-12-03	3.86712344199376	0	15	15	1e+06	2024-02-05	90	4	50000	0.00266681808967801
36	1		2023-12-04			14	14	1e+06	2024-02-05	90	1	4e+05	0.00229463001235797
36	2		2023-12-04			14	14	1e+06	2024-02-05	90	1	4e+05	0.00229463001235797
36	3		2023-12-04			14	14	1e+06	2024-02-05	90	2	2e+05	0.00229463001235797
36	4	8.82036499084619	2023-12-04	3.57608017908556	0	14	14	1e+06	2024-02-05	90	3	1e+05	0.00229463001235797
36	5		2023-12-04			14	14	1e+06	2024-02-05	90	4	50000	0.00229463001235797
37	1	9.74824268632507	2023-12-05	3.80549506716936	0	22	22	1e+06	2024-02-05	90	1	4e+05	0.00232400753101634
37	2		2023-12-05			22	22	1e+06	2024-02-05	90	1	4e+05	0.00232400753101634
37	3		2023-12-05			22	22	1e+06	2024-02-05	90	2	2e+05	0.00232400753101634
37	4		2023-12-05			22	22	1e+06	2024-02-05	90	3	1e+05	0.00232400753101634
37	5		2023-12-05			22	22	1e+06	2024-02-05	90	4	50000	0.00232400753101634
38	1	9.38915688760292	2023-12-06	3.80549506716936	0	25	25	1e+06	2024-02-05	90	1	4e+05	0.00227031881582818
38	2	9.77665706884518	2023-12-06	3.46396345552081	0	25	25	1e+06	2024-02-05	90	1	4e+05	0.00227031881582818
38	3		2023-12-06			25	25	1e+06	2024-02-05	90	2	2e+05	0.00227031881582818
38	4		2023-12-06			25	25	1e+06	2024-02-05	90	3	1e+05	0.00227031881582818
38	5		2023-12-06			25	25	1e+06	2024-02-05	90	4	50000	0.00227031881582818
39	1		2023-12-07			15	15	1e+06	2024-02-05	90	1	4e+05	0.00221548429304801
39	2		2023-12-07			15	15	1e+06	2024-02-05	90	1	4e+05	0.00221548429304801
39	3		2023-12-07			15	15	1e+06	2024-02-05	90	2	2e+05	0.00221548429304801
39	4		2023-12-07			15	15	1e+06	2024-02-05	90	3	1e+05	0.00221548429304801
39	5	9.68167643822757	2023-12-07	3.86712344199376	0	15	15	1e+06	2024-02-05	90	4	50000	0.00221548429304801
40	1		2023-12-08			21	21	1e+06	2024-02-05	90	1	4e+05	0.00216555268800312
40	2		2023-12-08			21	21	1e+06	2024-02-05	90	1	4e+05	0.00216555268800312
40	3		2023-12-08			21	21	1e+06	2024-02-05	90	2	2e+05	0.00216555268800312
40	4		2023-12-08			21	21	1e+06	2024-02-05	90	3	1e+05	0.00216555268800312
40	5		2023-12-08			21	21	1e+06	2024-02-05	90	4	50000	0.00216555268800312
41	1		2023-12-09			30	30	1e+06	2024-02-05	90	1	4e+05	0.00211674308322386
41	2		2023-12-09			30	30	1e+06	2024-02-05	90	1	4e+05	0.00211674308322386
41	3		2023-12-09			30	30	1e+06	2024-02-05	90	2	2e+05	0.00211674308322386
41	4		2023-12-09			30	30	1e+06	2024-02-05	90	3	1e+05	0.00211674308322386
41	5		2023-12-09			30	30	1e+06	2024-02-05	90	4	50000	0.00211674308322386
42	1		2023-12-10			19	19	1e+06	2024-02-05	90	1	4e+05	0.00206916837552496
